Fighter Name,fightno,slpmSecondSplit,strAccSecondSplit,sapmSecondSplit,strDefSecondSplit,tdAvgSecondSplit,tdAccSecondSplit,tdDefSecondSplit,subAvgSecondSplit,Coordinates
Justin Willis,5,3.37,59,2.57,57,0.96,66,36,0.0,"(6, 11)"
Justine Kish,5,4.28,49,3.73,62,1.0,35,55,0.2,"(10, 10)"
Jutaro Nakao,4,0.53,38,1.06,44,0.38,50,56,0.0,"(8, 12)"
Kai Kara-France,5,5.27,38,3.79,67,0.6,25,90,0.0,"(6, 9)"
Kailin Curran,7,3.89,43,4.75,53,2.0,57,61,0.6,"(8, 11)"
Kajan Johnson,7,2.47,42,1.59,64,1.54,37,62,0.2,"(8, 12)"
Kalib Starnes,5,2.71,48,4.43,53,1.46,33,25,0.6,"(9, 11)"
Kamal Shalorus,7,3.06,32,2.99,70,2.07,50,80,0.0,"(7, 9)"
Kamaru Usman,11,4.6,52,2.17,60,3.44,50,100,0.2,"(7, 10)"
Karl Roberson,7,3.16,52,1.8,64,1.07,57,53,0.8,"(6, 11)"
Karlos Vemola,6,1.67,44,2.13,37,1.93,25,31,1.7,"(5, 11)"
Karo Parisyan,13,2.49,41,2.19,58,5.27,59,59,1.0,"(5, 9)"
Karolina Kowalkiewicz,11,5.27,39,5.65,56,0.1,12,75,0.1,"(9, 10)"
Katlyn Chookagian,9,4.11,32,4.49,63,0.0,0,50,0.1,"(8, 8)"
Katsuhiko Nagata,4,1.05,19,1.5,63,0.98,28,28,0.0,"(9, 8)"
Katsuhisa Fujii,4,4.0,50,4.43,64,2.14,25,50,2.1,"(9, 11)"
Katsunori Kikuno,10,2.64,40,2.47,61,1.88,75,76,0.8,"(7, 12)"
Katsuyori Shibata,7,2.06,35,2.4,53,0.49,50,53,0.7,"(8, 12)"
Kazuhiro Nakamura,21,1.56,37,1.83,59,1.73,36,42,0.6,"(5, 10)"
Kazuki Tokudome,4,2.26,41,3.63,53,2.0,38,78,0.0,"(7, 9)"
Kazuo Misaki,12,2.85,40,2.74,63,0.72,38,51,0.6,"(8, 12)"
Kazushi Sakuraba,44,1.26,41,2.03,51,1.26,31,48,1.7,"(6, 10)"
Kazuyuki Fujita,14,1.05,49,1.99,52,2.78,36,85,0.6,"(7, 9)"
Kazuyuki Miyata,7,2.04,52,1.82,63,4.31,46,68,0.0,"(5, 9)"
Keita Nakamura,12,2.23,36,3.2,58,1.65,48,63,0.3,"(7, 9)"
Keith Jardine,20,3.25,36,2.98,59,1.18,45,62,0.7,"(6, 10)"
Keith Wisniewski,5,2.32,52,4.86,42,1.57,40,78,0.3,"(9, 9)"
Kelvin Gastelum,16,3.75,43,3.01,59,0.8,35,62,0.1,"(8, 10)"
Ken Shamrock,19,1.47,46,4.3,39,0.94,60,44,2.5,"(7, 13)"
Ken Stone,5,3.85,49,2.9,48,1.24,33,60,0.6,"(9, 9)"
Kenan Song,5,4.3,45,4.2,56,0.0,0,45,0.0,"(10, 9)"
Kendall Grove,13,2.31,41,2.4,54,0.49,45,56,1.7,"(6, 8)"
Kenji Osawa,8,2.34,35,2.14,63,0.91,58,68,0.7,"(7, 9)"
Kenny Florian,18,2.41,40,1.85,63,2.22,33,60,1.3,"(6, 8)"
Kenny Robertson,9,3.72,47,3.02,52,1.37,26,57,0.8,"(9, 9)"
Ketlen Vieira,6,2.74,35,3.82,57,2.03,57,92,0.8,"(7, 10)"
Kevin Aguilar,4,3.73,36,4.44,52,0.24,50,86,0.0,"(8, 11)"
Kevin Burns,5,2.74,38,4.3,52,0.28,50,47,0.8,"(10, 10)"
Kevin Casey,9,2.27,53,3.76,46,0.79,22,27,0.4,"(5, 11)"
Kevin Ferguson,6,2.3,50,3.41,38,3.1,72,36,1.2,"(6, 12)"
Kevin Holland,5,4.16,54,2.58,55,1.27,43,48,1.1,"(9, 9)"
Kevin Lee,17,3.9,42,3.23,51,3.21,43,75,0.8,"(7, 10)"
Kevin Randleman,20,1.26,54,1.12,57,2.0,56,30,0.8,"(5, 10)"
Kevin Souza,4,4.65,44,2.91,58,0.0,0,50,0.0,"(8, 9)"
Khabib Nurmagomedov,13,4.11,49,1.65,67,5.35,47,84,0.7,"(5, 9)"
Khalil Rountree Jr.,9,3.01,40,2.85,47,0.0,0,46,0.2,"(8, 8)"
Kiichi Kunimoto,5,1.87,44,3.92,41,1.59,20,28,0.3,"(5, 11)"
Kimo Leopoldo,9,0.76,83,2.12,30,4.55,100,0,2.3,"(6, 12)"
Kiyoshi Tamura,11,2.44,53,1.44,60,0.58,60,45,0.2,"(6, 11)"
KJ Noons,18,3.68,35,3.78,65,0.08,20,68,0.0,"(8, 9)"
Krzysztof Jotko,12,2.84,44,1.81,58,1.39,40,85,0.1,"(7, 10)"
Krzysztof Soszynski,12,3.37,39,3.13,58,0.52,25,71,1.0,"(8, 9)"
Kuniyoshi Hironaka,9,1.98,40,3.01,54,1.91,30,25,0.6,"(5, 11)"
Kurt Holobaugh,5,4.51,42,4.28,46,0.97,36,45,0.7,"(10, 10)"
Kurt Pellegrino,13,2.45,43,1.94,63,2.9,54,69,0.8,"(7, 9)"
Kyle Bochniak,7,2.63,31,5.11,58,1.14,15,62,0.0,"(8, 8)"
Kyle Bradley,4,1.99,40,3.45,58,0.65,50,40,0.0,"(8, 12)"
Kyle Kingsbury,9,2.97,40,3.81,51,2.64,41,52,0.0,"(8, 12)"
Kyle Noke,13,3.23,50,2.09,64,1.53,54,66,0.8,"(8, 10)"
Kyoji Horiguchi,8,3.6,45,2.45,62,2.0,44,55,0.0,"(8, 12)"
Kyung Ho Kang,9,2.52,44,2.43,58,2.53,59,71,1.1,"(7, 9)"
Lance Benoist,4,3.68,51,2.7,56,1.5,33,61,0.0,"(9, 9)"
Lando Vannata,9,4.72,44,4.73,56,1.15,36,64,0.4,"(10, 10)"
Lauren Mueller,4,4.08,41,3.77,58,0.7,50,71,0.0,"(8, 11)"
Lauren Murphy,8,3.76,38,4.02,61,1.03,32,66,0.0,"(10, 10)"
Lavar Johnson,9,5.39,55,2.54,55,0.61,66,54,0.6,"(8, 11)"
LC Davis,6,2.04,30,2.1,59,2.27,46,66,0.2,"(7, 9)"
Leandro Issa,5,2.08,37,3.17,58,2.38,22,50,1.2,"(7, 8)"
Leandro Silva,8,2.39,48,2.08,63,1.76,37,65,0.4,"(9, 9)"
Leon Edwards,12,2.53,47,2.05,55,1.39,31,70,0.4,"(8, 10)"
Leonard Garcia,17,2.77,24,4.79,52,0.3,26,42,0.5,"(10, 10)"
Leonardo Mafra,4,4.55,48,4.38,43,2.12,83,69,0.4,"(7, 11)"
Leonardo Santos,7,2.4,41,2.58,61,1.1,25,86,0.4,"(6, 9)"
Leslie Smith,7,7.56,40,8.41,51,0.0,0,62,0.0,"(9, 10)"
Lina Lansberg,8,2.76,57,3.7,44,0.71,33,50,0.1,"(9, 9)"
Lipeng Zhang,4,1.28,48,1.88,53,1.75,30,69,0.8,"(7, 9)"
Liu Pingyuan,4,2.36,33,2.99,54,0.25,20,56,1.0,"(8, 8)"
Liz Carmouche,14,2.78,54,2.51,61,2.57,51,65,0.3,"(8, 10)"
Logan Clark,4,2.2,54,1.49,53,0.31,100,30,2.1,"(6, 12)"
Lorenz Larkin,15,3.53,46,2.74,63,0.27,42,79,0.1,"(8, 10)"
Louis Gaudinot,5,2.34,37,6.42,48,0.57,40,31,1.1,"(9, 12)"
Louis Smolka,13,4.22,46,3.47,53,1.65,34,30,2.1,"(9, 11)"
Luan Chagas,4,4.16,47,3.19,62,0.32,12,85,0.3,"(8, 9)"
Lucas Martins,7,2.87,35,4.14,60,0.0,0,76,0.5,"(6, 9)"
Lucie Pudilova,7,4.15,36,4.09,52,0.16,12,61,0.6,"(8, 9)"
Luigi Fioravanti,9,2.23,42,2.21,69,3.76,63,67,0.9,"(5, 9)"
Luis Henrique,6,1.81,43,2.22,47,3.09,36,50,1.0,"(6, 8)"
Luis Pena,6,3.32,46,2.47,51,1.0,29,45,1.0,"(7, 8)"
Luiz Azeredo,7,2.16,39,2.76,57,1.07,50,45,0.3,"(8, 12)"
Luiz Cane,9,4.79,41,5.0,60,0.56,28,100,0.3,"(6, 9)"
Luiz Firmino,7,1.23,50,1.22,51,3.86,45,20,0.9,"(5, 12)"
Luke Barnatt,6,4.43,36,3.87,59,0.63,42,63,0.4,"(10, 10)"
Luke Cummo,7,1.74,43,1.5,59,0.89,55,42,1.4,"(8, 12)"
Luke Jumeau,4,2.93,43,3.17,58,0.25,100,86,0.0,"(7, 11)"
Luke Rockhold,19,4.18,48,2.43,56,0.67,30,68,1.1,"(8, 10)"
Luke Sanders,7,6.0,51,4.05,54,0.37,25,70,0.4,"(8, 9)"
Luke Stewart,9,3.75,56,2.34,53,3.75,33,50,1.9,"(6, 11)"
Lumumba Sayers,5,2.54,41,2.37,48,7.63,75,0,2.5,"(5, 12)"
Lyle Beerbohm,5,1.98,55,1.61,54,2.1,23,64,0.3,"(9, 9)"
Lyman Good,6,5.32,49,3.46,67,0.38,100,75,0.0,"(7, 11)"
Lyoto Machida,32,2.59,53,1.57,61,1.21,65,75,0.4,"(6, 10)"
Mac Danzig,15,3.39,48,3.44,57,1.2,37,46,0.6,"(8, 10)"
Mackens Semerzier,7,2.91,45,3.48,46,2.14,50,50,2.1,"(6, 11)"
Mackenzie Dern,4,3.24,32,4.07,64,0.46,8,0,0.9,"(10, 9)"
Macy Chiasson,5,4.4,53,2.22,44,0.97,16,70,0.7,"(9, 9)"
Magnus Cedenblad,6,2.38,51,3.02,40,2.87,64,66,1.0,"(6, 11)"
Magomed Ankalaev,6,3.46,56,1.24,67,0.68,33,85,0.0,"(9, 9)"
Magomed Mustafaev,5,2.59,58,2.68,41,3.31,50,23,0.4,"(6, 12)"
Mairbek Taisumov,9,2.98,39,3.03,64,1.34,63,88,0.0,"(8, 11)"
Makoto Takimoto,7,1.37,39,1.71,55,1.48,50,25,1.1,"(5, 11)"
Makwan Amirkhani,7,1.6,47,2.77,50,3.39,34,57,1.5,"(6, 8)"
Manny Bermudez,5,2.92,61,2.68,46,3.06,54,0,3.1,"(6, 12)"
Manny Tapia,5,2.69,21,4.74,58,0.49,40,66,0.2,"(10, 10)"
Manvel Gamburyan,19,2.13,41,2.83,55,3.26,34,69,0.7,"(8, 10)"
Mara Romero Borella,5,2.61,36,2.6,71,1.51,42,66,0.2,"(7, 9)"
Marc Diakiese,8,2.86,37,2.41,58,2.5,40,64,0.0,"(7, 9)"
Marc-Andre Barriault,4,3.53,43,4.2,58,0.33,16,68,0.0,"(8, 9)"
Marcelo Golm,4,4.27,58,4.3,45,0.45,50,87,0.5,"(8, 11)"
Marcelo Guimaraes,4,4.67,51,4.41,62,1.99,13,0,0.0,"(10, 9)"
Marcin Held,4,1.41,34,2.02,47,2.46,46,37,1.3,"(8, 12)"
Marcin Tybura,10,3.52,50,3.02,54,1.54,50,82,0.1,"(8, 11)"
Marcio Cruz,4,2.92,46,1.51,68,0.53,7,37,1.6,"(7, 8)"
Marco Beltran,6,2.07,37,1.93,63,0.7,50,46,0.2,"(8, 12)"
Marcos Rogerio de Lima,11,3.78,54,2.63,54,0.76,60,36,0.8,"(6, 11)"
Marcus Aurelio,13,1.42,33,2.27,59,1.69,27,27,1.3,"(5, 11)"
Marcus Brimage,8,3.97,35,3.64,56,0.56,100,80,0.0,"(7, 11)"
Marcus Davis,15,2.72,39,2.79,65,1.6,48,47,1.4,"(6, 8)"
Marcus Hicks,6,1.42,43,3.06,61,2.7,53,25,4.0,"(4, 11)"
Marina Rodriguez,5,5.6,50,3.57,53,0.48,33,70,0.2,"(8, 9)"
Mario Miranda,4,1.96,54,2.46,36,1.02,60,54,0.0,"(6, 11)"
Mario Sperry,7,2.81,52,1.53,47,2.09,42,71,1.4,"(9, 9)"
Marion Reneau,11,3.46,41,2.93,65,0.35,100,51,1.1,"(7, 12)"
Marius Zaromskis,9,5.02,34,5.93,50,0.73,42,73,0.0,"(8, 11)"
Mark Bocek,13,2.34,43,2.32,60,3.65,36,31,1.3,"(5, 10)"
Mark Coleman,26,1.88,52,2.62,40,3.89,40,50,0.8,"(5, 10)"
Mark De La Rosa,6,3.28,36,4.26,53,0.66,15,42,0.2,"(8, 8)"
Mark Eddiva,4,3.37,45,2.98,54,1.45,22,63,0.0,"(9, 9)"
Mark Godbeer,4,3.97,53,3.3,54,0.0,0,28,0.0,"(10, 9)"
Mark Hominick,13,4.08,42,4.18,69,0.25,66,71,0.9,"(8, 11)"
Mark Hunt,29,2.81,43,2.9,51,0.51,55,64,0.2,"(6, 10)"
Mark Munoz,17,3.12,51,2.26,57,3.17,29,57,0.6,"(8, 10)"
Mark Weir,4,1.54,56,2.5,38,0.8,50,25,2.4,"(4, 10)"
Markus Perez,5,2.75,48,3.96,52,1.08,26,80,1.1,"(6, 9)"
Marloes Coenen,6,2.15,51,1.9,67,0.82,30,41,2.5,"(7, 8)"
Marlon Moraes,7,3.53,39,3.69,58,0.46,25,66,0.5,"(8, 9)"
Marlon Vera,13,3.43,47,3.82,53,0.76,38,68,1.4,"(8, 10)"
Martin Bravo,4,7.66,39,5.72,51,2.6,35,85,0.0,"(9, 10)"
Martin Kampmann,18,3.22,42,3.28,62,1.86,41,78,2.0,"(8, 10)"
Marvin Eastman,9,2.21,35,3.92,42,1.38,33,81,0.0,"(6, 9)"
Marvin Vettori,7,4.05,41,2.85,66,1.43,45,80,0.6,"(8, 11)"
Maryna Moroz,8,4.09,31,4.15,53,0.56,18,47,0.4,"(8, 8)"
Masaaki Satake,8,1.4,35,3.76,41,0.0,0,58,0.0,"(8, 8)"
Masakazu Imanari,9,0.55,30,1.74,57,0.0,0,0,2.1,"(7, 7)"
Masanori Kanehara,4,1.88,49,1.63,62,1.44,50,63,0.9,"(7, 9)"
Matheus Nicolau,4,3.83,51,2.43,70,1.9,66,100,1.6,"(7, 10)"
Matt Brown,25,3.75,54,2.58,56,1.64,47,63,1.6,"(6, 10)"
Matt Dwyer,4,2.57,34,3.24,54,0.44,10,60,0.0,"(8, 8)"
Matt Frevola,5,3.19,39,3.47,60,3.3,40,75,1.4,"(7, 9)"
Matt Grice,7,4.09,53,2.69,56,2.19,37,82,0.5,"(9, 9)"
Matt Hamill,15,3.69,42,3.8,61,3.0,34,91,0.0,"(7, 10)"
Matt Hughes,25,2.14,53,1.36,53,2.95,50,35,1.2,"(5, 10)"
Matt Lindland,19,2.62,50,1.56,52,3.01,48,60,1.3,"(5, 10)"
Matt Mitrione,14,3.55,50,2.79,64,0.0,0,55,0.7,"(8, 9)"
Matt Ricehouse,5,3.7,44,4.8,47,1.0,22,81,0.0,"(6, 9)"
Matt Schnell,7,3.73,35,4.07,60,0.64,33,53,1.6,"(10, 10)"
Matt Serra,14,1.98,39,2.64,46,2.05,20,38,0.9,"(6, 8)"
Matt Wiman,17,3.18,50,3.57,51,2.14,37,56,1.5,"(8, 10)"
Matthew Lopez,6,3.13,50,3.73,55,3.32,60,71,1.3,"(5, 9)"
Matthew Riddle,12,3.01,42,2.74,54,3.51,50,89,0.5,"(7, 10)"
Maurice Greene,5,4.19,44,3.43,54,0.0,0,33,0.5,"(10, 9)"
Mauricio Rua,39,3.63,50,2.68,55,2.17,48,47,0.8,"(6, 10)"
Max Griffin,9,3.87,49,3.93,55,1.9,55,66,0.5,"(8, 11)"
Max Holloway,22,6.66,44,4.45,62,0.24,83,85,0.4,"(7, 11)"
Maximo Blanco,10,4.11,44,3.19,66,1.85,36,63,0.3,"(8, 10)"
Maycee Barber,4,6.02,60,3.15,49,0.95,30,80,0.3,"(9, 9)"
Megan Anderson,5,1.82,46,2.94,38,0.56,33,53,0.6,"(7, 8)"
Melvin Guillard,22,2.96,40,1.85,66,1.3,63,61,0.2,"(6, 10)"
Melvin Manhoef,11,3.52,48,2.64,51,0.33,25,78,0.0,"(8, 9)"
Merab Dvalishvili,5,3.84,37,2.36,57,7.8,45,80,0.0,"(5, 9)"
Micah Miller,5,1.33,33,2.15,54,0.98,37,21,2.0,"(5, 11)"
Michael Bisping,32,4.33,38,2.71,65,1.05,43,63,0.3,"(6, 10)"
Michael Chiesa,14,2.07,39,1.95,52,3.84,51,68,1.1,"(7, 9)"
Michael Johnson,23,4.22,37,3.92,58,0.52,45,78,0.1,"(6, 10)"
Michael Kuiper,4,3.28,54,3.62,54,2.3,55,79,0.0,"(8, 11)"
Michael McDonald,10,2.69,42,2.76,57,1.09,66,52,1.4,"(6, 11)"
Michal Oleksiejczuk,5,4.83,56,2.91,69,1.05,66,35,0.0,"(6, 11)"
Michel Prazeres,13,2.44,47,2.49,58,4.11,36,50,0.6,"(6, 8)"
Michelle Waterson,10,3.35,53,3.88,48,1.88,50,57,1.2,"(6, 11)"
Michihiro Omigawa,12,2.01,39,3.06,64,1.19,36,49,1.5,"(6, 8)"
Michinori Tanaka,5,1.97,37,1.99,50,2.4,38,43,0.2,"(8, 12)"
Mickey Gall,7,2.22,43,3.22,43,1.5,38,44,2.7,"(7, 8)"
Miesha Tate,17,1.93,41,2.71,50,2.06,31,52,1.6,"(6, 8)"
Miguel Torres,12,3.98,43,1.86,74,0.0,0,17,1.6,"(10, 9)"
Mike Brown,14,2.98,44,2.45,60,3.23,40,66,0.6,"(8, 10)"
Mike Budnik,4,0.65,52,0.95,53,0.0,0,0,3.4,"(4, 11)"
Mike de la Torre,7,3.21,39,4.75,51,0.36,16,83,0.0,"(6, 9)"
Mike Easton,7,3.51,37,4.28,61,0.75,22,66,0.0,"(8, 9)"
Mike Guymon,4,2.75,65,0.79,66,1.87,37,54,1.2,"(9, 9)"
Mike Kyle,12,4.5,51,2.76,54,1.55,62,50,0.9,"(6, 11)"
Mike Massenzio,7,2.08,45,3.59,54,2.74,24,50,1.4,"(7, 8)"
Mike Perry,12,4.27,47,4.5,57,0.61,41,70,0.0,"(8, 11)"
Mike Pierce,15,2.62,42,2.36,62,3.08,42,71,0.2,"(8, 10)"
Mike Pyle,24,2.74,45,2.84,60,1.8,35,70,1.5,"(6, 10)"
Mike Rio,4,1.68,39,2.99,53,2.58,27,0,1.0,"(5, 11)"
Mike Rodriguez,4,4.3,52,3.42,45,0.0,0,38,0.0,"(10, 9)"
Mike Russow,8,1.55,47,2.9,59,4.66,43,0,0.7,"(5, 12)"
Mike Swick,18,2.36,37,2.29,54,1.06,50,61,0.6,"(6, 10)"
Mike van Arsdale,5,1.52,41,1.91,41,1.06,14,37,0.0,"(9, 8)"
Mike Whitehead,5,1.62,33,2.36,59,3.59,43,77,0.3,"(7, 9)"
Mike Wilkinson,4,2.35,38,3.7,35,0.92,14,55,0.9,"(8, 8)"
Milton Vieira,4,1.13,35,2.36,48,2.67,53,12,0.7,"(5, 11)"
Minotauro Nogueira,33,1.95,42,2.4,55,1.3,29,36,2.4,"(5, 10)"
Mirko Cro Cop,41,2.11,50,1.89,63,0.19,40,78,0.3,"(6, 10)"
Mirsad Bektic,9,2.59,41,1.89,58,3.32,47,92,0.5,"(7, 10)"
Misha Cirkunov,9,4.18,52,2.89,62,4.42,57,71,2.4,"(5, 9)"
Mitch Clarke,7,2.35,34,3.27,47,0.64,15,50,0.4,"(8, 8)"
Mitch Gagnon,8,2.76,46,2.21,61,1.16,25,65,1.9,"(7, 8)"
Mitsuhiro Ishida,14,1.46,41,1.13,61,4.76,53,33,0.7,"(5, 10)"
Mizuto Hirota,9,3.36,40,3.5,54,1.36,50,58,0.1,"(10, 10)"
Molly McCann,4,6.49,49,4.95,68,2.59,33,40,0.9,"(9, 11)"
Montana De La Rosa,5,2.3,33,2.8,49,2.22,33,50,1.9,"(8, 12)"
Montel Jackson,4,4.16,55,1.51,58,4.84,79,70,0.2,"(5, 9)"
Mu Bae Choi,5,1.55,49,3.65,44,3.12,75,60,1.0,"(6, 11)"
Muhammed Lawal,10,3.79,52,1.61,66,5.96,75,87,0.0,"(5, 9)"
Murilo Bustamante,14,1.33,32,1.9,60,2.46,33,54,1.2,"(6, 8)"
Murilo Rua,18,2.48,45,1.85,53,1.97,45,37,1.2,"(5, 10)"
Muslim Salikhov,4,2.92,46,1.97,68,1.22,42,72,0.0,"(9, 9)"
Myles Jury,12,2.94,42,2.16,66,2.16,55,50,0.3,"(6, 11)"
Nah-Shon Burrell,6,4.83,47,3.45,56,0.0,0,52,0.3,"(8, 9)"
Nam Phan,11,4.52,37,6.55,59,0.18,18,60,0.2,"(9, 10)"
Naoya Ogawa,6,2.41,42,1.66,47,1.25,100,66,1.2,"(7, 12)"
Naoyuki Kotani,6,1.02,31,2.89,50,0.83,16,46,0.8,"(9, 8)"
Nasrat Haqparast,5,5.25,47,3.38,74,0.29,25,78,0.0,"(8, 9)"
Nate Diaz,30,4.62,45,3.78,53,1.19,30,42,1.4,"(6, 10)"
Nate Marquardt,27,2.71,49,2.32,55,1.87,51,70,0.8,"(6, 10)"
Nate Mohr,4,3.79,41,2.5,74,0.45,50,71,0.0,"(8, 11)"
Nate Moore,4,2.21,25,2.87,42,1.23,16,25,0.0,"(9, 8)"
Nate Quarry,10,4.96,44,2.8,66,0.25,33,60,0.0,"(8, 9)"
Nathan Coy,6,3.88,52,2.4,61,3.17,47,50,0.0,"(6, 11)"
Nathaniel Wood,4,4.3,43,3.16,55,1.9,71,80,1.5,"(8, 11)"
Neil Magny,21,3.93,46,2.15,57,2.7,47,59,0.3,"(6, 10)"
Neil Seery,7,3.56,41,3.79,58,0.78,27,53,1.6,"(10, 10)"
Nick Catone,8,2.11,44,2.32,63,3.71,44,83,0.5,"(7, 9)"
Nick Diaz,28,5.43,42,3.56,61,1.32,33,60,1.0,"(6, 10)"
Nick Hein,8,2.65,35,3.61,59,0.86,33,83,0.0,"(6, 9)"
Nick Osipczak,5,2.83,50,3.77,50,1.2,45,71,1.0,"(9, 9)"
Nick Pace,4,1.48,34,3.14,57,2.52,43,54,0.5,"(8, 12)"
Nick Ring,6,3.52,42,3.48,62,1.36,36,52,0.3,"(10, 10)"
Nick Thompson,4,1.87,42,1.8,49,1.06,100,35,2.6,"(6, 12)"
Nico Musoke,6,3.56,35,3.8,57,1.16,19,82,0.2,"(6, 9)"
Nicolas Dalby,5,3.03,38,2.91,56,1.8,45,58,0.0,"(8, 12)"
Nik Lentz,24,3.46,48,3.14,49,3.41,33,45,1.2,"(5, 10)"
Nikita Krylov,13,4.54,59,2.45,41,1.4,38,52,1.6,"(9, 9)"
Niko Price,10,3.06,34,4.46,51,1.08,23,61,1.3,"(8, 8)"
Nina Ansaroff,7,4.81,47,3.55,54,0.29,40,77,0.6,"(8, 11)"
Ning Guangyou,4,2.66,41,1.91,61,1.09,50,62,0.3,"(8, 12)"
Noad Lahat,4,2.79,46,1.47,63,2.37,26,16,2.4,"(5, 11)"
Nordine Taleb,12,3.66,51,2.62,66,1.94,76,73,0.0,"(7, 12)"
Norifumi Yamamoto,7,2.09,45,2.01,57,0.41,22,45,0.0,"(7, 8)"
Norman Parke,9,3.06,35,2.88,64,1.98,26,77,0.0,"(6, 9)"
Olaf Alfonso,4,1.65,38,4.77,53,0.37,7,22,0.7,"(9, 8)"
Olivier Aubin-Mercier,12,2.48,51,2.97,55,2.36,33,70,0.5,"(8, 10)"
Oluwale Bamgbose,5,2.45,48,2.7,55,0.94,33,37,0.0,"(8, 12)"
Omari Akhmedov,12,2.99,34,2.77,58,2.4,50,62,0.2,"(7, 9)"
Oskar Piechota,6,3.19,55,3.04,54,0.76,50,41,1.9,"(6, 11)"
Ovince Saint Preux,28,2.59,46,2.86,44,1.34,40,65,0.6,"(6, 10)"
Pablo Garza,7,3.37,44,2.7,50,0.94,25,15,1.3,"(5, 11)"
Paddy Holohan,5,2.13,46,2.81,46,2.88,47,71,1.3,"(7, 9)"
Paige VanZant,8,3.4,52,2.63,43,1.31,33,35,1.0,"(9, 11)"
Pannie Kianzad,4,4.03,41,3.71,58,0.4,20,100,0.4,"(6, 9)"
Papy Abedi,4,2.8,55,3.15,48,3.47,57,50,1.3,"(6, 11)"
Pascal Krauss,4,5.45,47,3.88,59,1.53,50,60,0.9,"(8, 11)"
Pat Barry,12,2.72,52,3.54,59,0.0,0,76,0.2,"(8, 9)"
Pat Healy,16,2.57,36,2.57,50,3.08,37,55,1.1,"(6, 8)"
Pat Miletich,10,1.79,45,1.66,63,1.96,100,54,1.0,"(7, 12)"
Patrick Cote,24,2.81,48,3.21,48,0.68,20,43,0.2,"(8, 10)"
Patrick Cummins,14,4.26,50,3.35,55,4.49,41,28,0.1,"(9, 11)"
Patrick Williams,4,4.12,51,4.12,52,2.71,41,100,0.5,"(7, 10)"
Paul Bradley,4,2.26,32,4.13,56,1.12,16,100,0.0,"(6, 9)"
Paul Buentello,12,3.29,45,3.83,52,0.19,33,39,0.4,"(10, 10)"
Paul Craig,9,2.33,48,2.49,49,1.65,21,57,1.5,"(7, 8)"
Paul Daley,12,3.14,47,2.37,60,0.91,40,64,0.0,"(8, 10)"
Paul Felder,14,3.67,43,3.4,49,0.25,25,61,0.2,"(8, 9)"
Paul Kelly,9,3.22,37,2.61,59,1.34,60,30,1.5,"(6, 11)"
Paul Sass,5,0.53,26,1.9,51,0.53,16,33,7.4,"(4, 11)"
Paul Taylor,9,4.44,47,4.47,55,0.27,25,56,0.5,"(8, 9)"
Paulo Costa,5,8.43,57,6.84,53,0.0,0,80,0.0,"(9, 10)"
Paulo Filho,12,1.86,48,1.67,66,2.4,32,42,1.6,"(6, 8)"
Paulo Thiago,13,1.71,39,1.99,63,1.42,31,63,1.2,"(6, 8)"
Pawel Nastula,4,1.3,43,1.73,50,3.0,60,0,1.5,"(5, 12)"
Pedro Munhoz,13,5.29,42,6.17,57,0.92,21,81,1.1,"(9, 10)"
Pedro Rizzo,18,1.93,34,3.02,50,0.26,28,78,0.0,"(6, 9)"
Pete Sell,7,2.6,42,3.65,51,0.91,21,47,0.9,"(8, 8)"
Pete Spratt,9,1.63,48,1.33,55,0.3,100,46,0.3,"(7, 12)"
Pete Williams,8,0.61,62,2.77,40,1.84,40,16,0.9,"(4, 10)"
Peter Sobotta,9,2.17,39,2.89,59,1.76,35,77,0.6,"(7, 9)"
Petr Yan,6,5.65,46,3.15,67,1.73,53,87,0.2,"(8, 11)"
Phil Baroni,20,2.77,45,3.93,40,1.46,47,60,0.5,"(6, 10)"
Phil Davis,13,2.85,34,1.33,72,2.99,38,72,0.6,"(7, 9)"
Phil Harris,5,2.34,26,3.16,68,1.76,21,60,0.0,"(8, 8)"
Philip De Fries,5,2.3,47,3.0,37,3.29,42,100,0.6,"(7, 10)"
Phillipe Nover,7,1.79,35,2.48,56,0.99,28,44,0.7,"(8, 12)"
Piotr Hallmann,6,3.98,45,3.17,58,2.55,44,70,0.4,"(8, 11)"
Poliana Botelho,4,3.65,58,2.77,55,1.27,100,88,0.0,"(7, 11)"
Polo Reyes,8,6.0,37,5.52,59,0.0,0,46,0.0,"(9, 10)"
Polyana Viana,4,3.89,41,3.26,54,1.29,37,50,1.3,"(10, 10)"
Priscila Cachoeira,4,3.84,37,7.93,42,0.0,0,69,0.0,"(9, 10)"
Quinn Mulhern,6,1.48,28,2.09,51,1.36,20,33,0.0,"(9, 8)"
Rafael Dos Anjos,29,3.47,45,3.18,62,1.82,39,58,0.6,"(6, 10)"
Rafael Feijao,15,2.71,53,3.62,49,0.6,40,63,0.1,"(8, 10)"
Rafael Natal,17,3.1,47,2.48,57,2.55,34,77,0.5,"(8, 10)"
Rafaello Oliveira,8,2.19,33,3.38,59,2.49,36,11,1.6,"(5, 11)"
Ramazan Emeev,4,2.38,43,1.73,70,1.5,22,80,0.2,"(6, 9)"
Rameau Thierry Sokoudjou,11,2.26,45,2.61,56,1.93,47,78,0.9,"(7, 9)"
Rampage Jackson,31,3.25,54,2.51,55,1.52,56,73,0.1,"(6, 10)"
